com.miui.gallery,图库
com.UCMobile, UC浏览器
com.yahoo.mobile.client.android.flickr,Flickr
com.android.phone,手机
com.duowan.mobile,YY
com.android.settings.VirusScanActivity,病毒扫描
com.yidian.xiaomi,新闻资讯
com.android.bluetooth,蓝牙共享
com.nuomi,百度糯米
com.android.browser,浏览器
com.miui.backup,备份
com.miui.securitycenter.Main,安全中心
com.xiaomi.shop,小米商城
com.miui.notes,便签
com.tencent.qqpimsecure,腾讯手机管家
cn.lieche.main,8684火车
com.baidu.video,百度视频
com.android.mms,短信
com.android.system.notification_otg,OTG
com.google.android.apps.plus.phone.ConversationListActivity,Google+照片
com.miui.compass,指南针
folder_icon_cover,文件夹盖板
com.fivehundredpx.viewer,美图500px
com.miui.supermarket,应用商店
com.android.updater,系统更新
com.kingsoft,金山词霸
com.android.settings,设置
com.xiaomi.channel,米聊
com.android.fileexplorer,文件管理
com.sinovatech.unicom.ui,手机营业厅
icon_background,图标背景
com.android.system.usb_notifications_button,USB 连接
com.facebook.katana,Facebook
com.google.android.googlequicksearchbox,谷歌搜索
com.eg.android.AlipayGphone,支付宝钱包
com.tencent.qqpim,QQ同步助手
com.vancl.activity,凡客 VANCL
com.qiyi.video,爱奇艺动漫
com.yinyuetai.ui,音悦台
com.xiaomi.gamecenter,游戏中心
com.miui.home,桌面
com.mx.browser,傲游云浏览器
com.xiaomi.xmsf.account.ui.MiCloudSettingsActivity,小米云服务
com.google.android.apps.maps,谷歌地图
com.tencent.qqgame,天天德州
cn.amazon.mShop.android,亚马逊购物
com.baidu.BaiduMap,百度地图
com.antutu.ABenchMark,安兔兔评测
com.mi.misupport,远程协助
com.android.providers.downloads,下载管理
com.android.monitor,网络助手
com.miui.fmradio,收音机
com.eico.weico,Weico 3 微博客户端
com.google.android.apps.googlevoice,谷歌Voice
com.ijinshan.duba,金山毒霸
com.google.android.apps.plus.phone.HomeActivity,Google+
com.android.contacts.activities.YellowPageNavigation,生活黄页
qsbk.app,糗事百科
com.google.android.inputmethod.pinyin,谷歌拼音输入法
com.xiaomi.tag,碰碰贴
com.miui.bugreport.ui.TypeSelectionActivity,用户反馈
cn.com.fetion,飞信同窗
com.wuba,58同城
com.adobe.reader,Adobe Reader
flipboard.cn,Flipboard 中国版
com.lingdong.client.android,快拍二维码
com.android.vending.AssetBrowserActivity,Google Play商店
cn.com.tiros.android.navidog,导航犬
