拨号,Phone,com.android.contacts.activities.TwelveKeyDialer,com.android.providers.contacts.CallLogProvider,,
联系人,Contacts,com.android.contacts,com.android.providers.contacts,,
浏览器,Browser,com.android.browser,,,
短信,Messaging,com.android.mms,com.android.providers.telephony,com.xiaomi.xmsf.CloudMessaging,
相机,Camera,com.android.camera,com.android.camera2,,
图库,Gallery,com.miui.gallery,com.android.gallery3d,,
音乐,Music,com.miui.player,com.android.music,,
主题风格,Themes,com.android.thememanager,,,
设置,Settings,com.android.settings,,,
密码保护,Password,com.android.settings.MiuiPasswordGuardActivity,,,
自启动管理,Auto-start,com.android.settings.BackgroundApplicationsManager,,,
时钟,Clock,com.android.deskclock,,,
日历,Calendar,com.android.calendar,com.android.providers.calendar,,
录音机,Recorder,com.android.soundrecorder,,,
收音机,FM Radio,com.miui.fmradio,,,
手电筒,Torch,com.android.systemui.TorchActivity,,,
计算机,Calculator,com.android.calculator2,,,
指南针,Compass,com.miui.compass,,,
语音助手,Voice assis,com.miui.voiceassist,com.android.voicedialer,,
搜索,Search,com.android.quicksearchbox,,,
备份,Backup,com.miui.backup,,,
便签,Notes,com.miui.notes,,,
天气,Weather,com.miui.weather2,,,
视频,Video,com.miui.video,com.miui.videoplayer,,
电子邮件,Mail,com.android.email,,,
安全中心,Security,com.miui.securitycenter,com.miui.securitycenter.MainActivity,com.miui.securitycenter.Main,
病毒扫描,Virus scan,com.android.settings.VirusScanActivity,,,
网络助手,Date Usage,com.android.monitor,com.miui.networkassistant,,
骚扰拦截,Blocklist settings,com.miui.antispam,,,
授权管理,Permissions,com.lbe.security.miui,com.android.settings.permission.PermManageActivity,,
玩机手册,Handbook,com.miui.userbook,,,
文件管理,Explorer,com.android.fileexplorer,,,
快盘,kuaipan,cn.wps.livespace,com.android.fileexplorer.KuaipanActivity,,
系统更新,Updater,com.android.updater,,,
下载管理,Downloads,com.android.providers.downloads,com.android.providers.downloads.ui,,
应用商店,AppsMarket,com.miui.supermarket,com.xiaomi.market,,
游戏中心,GameCenter,com.xiaomi.gamecenter,com.xiaomi.gamecenter.pad,,
小米商城,MiShop,com.xiaomi.shop.activity.MainTabActivity,com.xiaomi.shop,com.xiaomi.padshop,
小米账户,MiAccount,com.xiaomi.account,,,
小米生活,O2O,com.xiaomi.o2o,,,
多看阅读,DuoKan,com.duokan.reader,com.duokan.hdreader,,
米聊,MiTalk,com.xiaomi.channel,,,
用户反馈,Feedback,com.miui.bugreport.ui.TypeSelectionActivity,com.miui.bugreport.ui.MainActivity,,
二维码扫描,BarCodeScanner,com.miui.barcodescanner,,,
SIM卡工具,STK,com.android.stk,com.android.stk.StkLauncherActivity2,com.android.stk.StkLauncherActivityII,,
小米云服务,MiCloud,com.xiaomi.xmsf.account.ui.MiCloudSettingsActivity,com.miui.cloudservice.storage,com.miui.cloudservice,
米币中心,MiCredits,com.xiaomi.payment,com.xiaomi.payment.MiliCenterEntryActivity,com.xiaomi.xmsf.payment.MiliCenterEntryActivity,
找回手机,,com.xiaomi.xmsf.FindDevice,,,
生活黄页,YellowPageNavigation,com.miui.yellowpage,com.android.contacts.activities.YellowPageNavigation,,
微博,Weibo,com.sina.weibo,,,
百度地图,Map,com.baidu.BaiduMap,,,
QQ,,com.tencent.qq,com.tencent.mobileqq,com.tencent.android.pad,
QQ空间,,com.qzone,,,
新闻资讯,News,com.yidian.xiaomi,,,
WPS Office,Kingsoft Office,cn.wps.moffice,cn.wps.moffice.documentmanager.PreStartActivity,cn.wps.moffice_eng,
系统通知,,android,,,
蓝牙共享,,com.android.bluetooth,,,
手机,,com.android.phone,,,
网络共享,,com.android.settings.wifi.WifiProvider,,,
OTG,,com.android.system.notification_otg,,,
Phone通知,,com.android.system.notification_phone,,,
截图通知,,com.android.systemui,,,
USB 连接,,com.android.system.usb_notifications_button,,,
桌面,HOME,com.miui.home,,,
文件夹盖板,FolderCover,folder_icon_cover,,,
文件夹背景,IconFolder,icon_folder,,,
图标上层纹理,IconBorder,icon_border,,,
图标形状遮罩,IconMask,icon_mask,,,
图标底纹,IconPattern,icon_pattern,,,
图标背景,IconBackground,icon_background,,,
快捷方式遮盖,ShortcutArrow,icon_shortcut_arrow,,,
快捷方式背景,ShortcutBg,icon_shortcut,,,
快捷开关背景,ToggleBg,com.miui.home.toggle_bg,,,
